@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
C,21,0.4,0.12,0.3,0.2,0,0,0,0.24,0.13,0,0,0.46,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/7/0/0@6/4/0/0@67/99/0/0@8/99/0/0 %  ytylr292c
C,20,0.4,0.53,0.62,0.33,0,0.09,0,0.46,0.2,0.5,0,0.2,0,0,0.17,0,0,1,?,?,?,2,4,5,0,13/1/1/3@2/13/0/0@40/16/0/0@67/50/22/0@8/4/0/0 %  ytylr295c
C,20,0.4,0.13,0.3,0.2,0,0,0,0.25,0.13,0,0,0.44,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/5/4/0@14/4/3/1@14/4/3/3@40/8/0/0 %  ytylr330w
C,20,0.4,0.13,0.3,0.2,0,0,0,0.25,0.13,0,0,0.44,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/10/0/0@8/1/0/0 %  ytylr335w
C,20,0.4,0.59,0.3,0.55,0,0,-0.09,0.44,0.13,0,0,0.1,0,0,0.09,1,0,1,?,1,?,5,4,?,0,1/4/7/0@1/5/7/0@40/16/0/0@67/4/7/0@67/7/0/0@8/4/0/0 %  ytylr348c
C,20,0.4,0.15,0.3,0.2,0,0,0,0.25,0.13,0,0,0.35,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/4/0/0 %  ytylr429w
C,21,0.4,0.13,0.3,0.2,0,0,0,0.25,0.13,0,0,0.43,0,0,0.17,0,0,1,?,1,1,5,4,5,0,6/1/0/0 %  ytylr449w
C,21,0.4,0.34,0.31,0.54,0,-0.11,0,0.39,0.07,1.6,0,0.14,0,0,0.16,0,0,1,?,?,?,?,4,?,0,40/16/0/0@5/1/0/0 %  ytyml009c
C,20,0.4,0.15,0.3,0.34,0,0,0,0.28,0.13,0,0,0.53,0,0,0.17,0,0,1,?,1,?,5,4,5,0,1/5/1/0@6/7/0/0 %  ytyml019w
C,20,0.4,0.21,0.3,0.2,0,0,0,0.27,0.13,0,0,0.41,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/7/0/0@6/7/0/0 %  ytyml055w
C,20,0.42,0.26,0.3,0.94,0,-0.2,0.37,0.47,0.09,1.8,0,0.28,0,0,0.3,1.23,1,?,?,1,?,1,4,?,0,1/5/1/0@11/1/0/0 %  ytyml070w
C,21,1.42,1.64,0.83,2.07,0,-0.19,0.07,1.49,0.11,1.7,0,0.13,0,0,0.17,0.41,0,?,?,?,?,?,?,?,0,40/16/0/0@6/1/0/0 %  ytyml078w
C,21,0.4,0.09,0.3,0.2,0,0,0,0.24,0.13,0,0,0.58,0,0,0.17,0,0,1,?,1,1,5,4,5,0,4/5/1/4@40/10/0/0 %  ytyml112w
C,20,0.4,0.16,0.3,0.35,0,0,0,0.28,0.13,0,0,0.42,0,0,0.17,0,0,1,?,1,?,5,4,5,0,40/10/0/0 %  ytyml113w
C,21,0.4,0.17,0.3,0.27,0,0,0,0.26,0.13,0,0,0.48,0,0,0.17,0,0,1,?,1,?,5,4,5,0,11/7/0/0@40/2/0/0@67/28/0/0 %  ytyml116w
C,20,0.4,0.1,0.3,0.3,0,0,0,0.24,0.13,0,0,0.54,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/4/4/0 %  ytyml121w
C,20,0.46,0.41,0.3,0.52,0,0,0.06,0.41,0.13,0,0,0.15,0,0,0.16,0.38,0,?,?,1,?,5,4,?,0,2/13/0/0 %  ytyml125c
C,21,0.4,0.09,0.3,0.31,0,0,0,0.25,0.13,0,0,0.57,0,0,0.17,0,0,1,?,1,?,5,4,4,0,40/7/0/0@6/7/0/0 %  ytyml130c
C,21,0.4,0.11,0.3,0.2,0,0,0,0.24,0.13,0,0,0.5,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/6/4/0 %  ytymr006c
C,20,0.4,0.26,0.3,0.3,0,0,0,0.28,0.13,0,0,0.19,0,0,0.17,0,0,1,?,1,1,5,4,5,0,30/16/0/0@5/4/0/0 %  ytymr012w
C,21,0.4,0.15,0.3,0.2,0,0,0,0.25,0.13,0,0,0.49,0,0,0.17,0,0,1,?,1,1,5,4,5,0,13/1/1/3@40/3/0/0@40/8/0/0@67/4/1/2@67/50/22/0@8/13/0/0 %  ytymr054w
C,20,0.4,0.2,0.3,0.43,0,0,-0,0.31,0.13,0,0,0.33,0,0,0.16,0.19,0,1,?,1,?,5,4,2,0,13/1/1/1@40/2/0/0@67/4/1/1@8/19/0/0 %  ytymr058w
C,21,0.4,0.13,0.3,0.29,0,0,-0.12,0.26,0.13,0,0,0.44,0,0,0.04,3,0,1,?,1,?,5,4,?,0,2/13/0/0 %  ytymr073c
C,21,0.4,0.1,0.6,0.2,0,0.05,0,0.32,0.18,0.3,0,0.59,0,0,0.17,0,0,1,1,?,1,2,5,5,0,1/3/16/0 %  ytymr081c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.54,0,0,0.17,0,0,1,?,1,1,5,4,5,0,6/4/0/0 %  ytymr091c
C,20,0.4,0.17,0.38,0.58,0,0,0.1,0.37,0.13,0,0,0.42,0,0,0.21,0.48,0,1,?,?,?,4,4,2,0,1/5/1/0@2/19/0/0@40/3/0/0 %  ytymr105c
C,21,0.4,0.11,0.3,0.2,0,0,0,0.24,0.13,0,0,0.52,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/7/1/0 %  ytymr113w
C,20,0.4,0.18,0.3,0.71,0,0,0,0.38,0.13,0,0,0.33,0,0,0.18,0,0,1,?,1,?,5,4,4,0,1/3/1/0 %  ytymr120c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.55,0,0,0.17,0,0,1,?,1,1,5,4,5,0,30/1/0/0@40/10/0/0 %  ytymr128w
C,20,0.69,0.91,0.94,0.98,0,0.1,0.12,0.88,0.09,1.1,0,0.13,0,0,0.1,1.2,0,?,?,?,?,?,4,?,0,2/13/0/0@40/16/0/0 %  ytymr145c
C,20,0.4,0.14,0.3,0.29,0,0,0,0.26,0.13,0,0,0.4,0,0,0.17,0,0,1,?,1,?,5,4,4,0,40/16/0/0@6/7/0/0 %  ytymr152w
C,21,0.4,0.1,0.3,0.6,0,0,0.24,0.33,0.13,0,0,0.59,0,0,0.4,0.6,0,1,1,1,?,5,5,2,0,2/16/0/0 %  ytymr169c
C,20,0.4,0.1,0.3,1.45,0,0,0.51,0.54,0.13,0,0,0.57,0,0,0.34,1.5,1,1,1,1,?,5,5,2,0,11/1/0/0@40/3/0/0@6/13/0/0 %  ytymr174c
C,20,0.4,0.1,0.3,1.33,0,0,0.5,0.51,0.13,0,0,0.59,0,0,0.65,0.77,0,1,1,1,?,5,5,2,0,11/1/0/0 %  ytymr175w
C,20,0.4,0.21,0.3,0.72,0,0,0.24,0.39,0.13,0,0,0.22,0,0,0.32,0.75,0,1,?,1,?,5,4,2,0,1/1/10/0@40/16/0/0 %  ytymr189w
C,20,0.4,0.21,0.3,0.37,0,0,0,0.30,0.13,0,0,0.32,0,0,0.17,0,0,1,?,1,?,5,4,4,0,3/3/1/0 %  ytymr200w
C,21,0.4,0.12,0.3,0.24,0,0,0,0.24,0.13,0,0,0.48,0,0,0.17,0,0,1,?,1,?,5,4,5,0,1/6/10/0@40/3/0/0 %  ytymr208w
C,21,0.42,0.23,0.3,0.36,0,0,-0.1,0.32,0.13,0,0,0.23,0,0,0.07,1.43,0,?,?,1,?,5,4,?,0,1/7/1/0 %  ytymr222c
C,20,0.4,0.1,0.3,0.28,0,0,0,0.25,0.13,0,0,0.59,0,0,0.16,0,0,1,1,1,?,5,5,4,0,3/1/5/1@3/3/1/0@3/3/2/0@30/1/0/0@40/10/0/0 %  ytymr224c
D,20,0.1,0.1,0.06,0,0,0,0,0.07,0.31,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,1/3/16/0@30/1/0/0 %  ytymr234w
D,21,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.36,0,0,1,1,1,?,5,5,4,0,2/13/0/0 %  ytymr244w
D,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.31,0,0,1,1,1,?,5,5,4,0,3/3/1/0 %  ytymr262w
D,20,0.1,0.1,0.09,0.07,0,0,0,0.09,0.23,0,0,0.11,0,0,0.23,0,0,1,?,?,?,4,5,4,0,1/4/1/0@2/99/0/0@40/16/0/0 %  ytymr267w
D,21,0.1,0.1,0.04,0.11,0,0,0.01,0.09,0.38,0,0,0.11,0,0,0.36,0.03,0,1,1,?,?,4,5,2,0,1/3/4/0 %  ytymr271c
D,20,0.1,0.2,0.19,0.14,0,-0.04,-0.09,0.16,0.1,0.4,0,0.11,0,0,0.2,0.45,0,1,?,?,?,?,4,?,0,6/7/0/0 %  ytymr274c
D,21,0.1,0.1,0.05,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,?,1,5,5,5,0,6/13/1/0@6/7/0/0 %  ytymr275c
D,20,0.1,0.11,0.16,0.24,0,0.02,0.14,0.16,0.25,0.1,0,0.11,0,0,0.25,0.56,0,1,?,?,?,?,5,2,0,1/6/1/1@1/6/1/3 %  ytymr281w
D,21,0.1,0.09,0.08,0.06,0,-0.17,-0.34,0.09,0.21,0.8,0,0.11,0,0,0.11,3.09,1,1,?,?,?,?,5,?,0,4/3/6/0 %  ytymr283c
D,20,0.1,0.11,0,0.06,0,0,0,0.08,0.38,0,0,0.11,0,0,0.31,0,0,1,?,1,?,5,4,4,0,3/1/9/5 %  ytymr290c
D,20,0.41,0.53,0.34,0.61,0,-0.08,0.1,0.47,0.25,0.3,0,0.14,0,0,0.19,0.53,0,?,?,?,?,?,?,?,0,1/6/1/0 %  ytymr296c
D,21,0.1,0.1,0.07,0.08,0,0,0,0.09,0.25,0,0,0.11,0,0,0.31,0,0,1,1,?,?,4,5,4,0,40/3/0/0@5/4/0/0 %  ytymr309c
D,20,0.1,0.1,0.11,0.15,0,0,0.16,0.12,0.25,0,0,0.13,0,0,0.25,0.64,0,1,1,?,?,4,5,2,0,1/5/4/0 %  ytymr311c
D,20,0.1,0.16,0.08,0.09,0,0,0,0.12,0.38,0,0,0.18,0,0,0.33,0,0,1,?,?,?,5,5,5,0,4/5/1/1 %  ytymr312w
D,20,0.15,0.14,0.1,0.09,0,0,-0.18,0.11,0.38,0,0,0.11,0,0,0.19,0.95,0,?,?,1,?,5,5,?,0,13/1/1/1@40/2/0/0@67/4/1/1@8/19/0/0 %  ytymr319c
D,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.36,0,0,1,1,1,?,5,5,4,0,1/5/1/0@2/1/0/0 %  ytymr323w
D,20,0.1,0.1,0,0.05,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,?,5,5,5,0,3/3/1/0@5/7/0/0 %  ytynl001w
D,21,0.1,0.09,0.05,0.06,0,0,0,0.08,0.38,0,0,0.11,0,0,0.37,0,0,1,?,?,?,4,5,4,0,4/99/0/0 %  ytynl004w
D,20,0.1,0.1,0.1,0.06,0,0,0,0.08,0.36,0,0,0.11,0,0,0.35,0,0,1,1,1,?,5,5,4,0,3/1/9/5@4/5/1/4@40/10/0/0@6/7/0/0 %  ytynl021w
D,21,0.1,0.1,0.04,0,0,0,0,0.07,0.37,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,1/5/4/0@3/3/2/0@4/5/1/1@40/10/0/0 %  ytynl025c
D,21,0.1,0.1,0.05,0.11,0,0,0.02,0.09,0.33,0,0,0.11,0,0,0.1,0.2,0,1,1,?,?,4,5,2,0,1/5/1/0@6/7/0/0 %  ytynl029c
D,20,0.1,0.1,0,0.08,0,0,0,0.08,0.38,0,0,0.11,0,0,0.28,0,0,1,1,1,?,5,5,4,0,4/1/1/0@4/3/1/0@40/10/0/0 %  ytynl039w
D,21,0.1,0.1,0.05,0,0,-0.37,0,0.07,0.04,9.3,1,0.11,0,0,0.37,0,0,1,1,?,1,?,5,5,0,40/25/0/0@6/4/0/0 %  ytynl054w
D,20,0.1,0.1,0,0.09,0,0,0,0.08,0.38,0,0,0.11,0,0,0.3,0,0,1,1,1,?,5,5,4,0,11/7/0/0@67/28/0/0 %  ytynl065w
D,21,0.8,0.81,0.71,1.04,0,-0.07,0.05,0.84,0.11,0.6,0,0.11,0,0,0.09,0.56,0,?,?,?,?,?,5,?,0,1/5/1/0@2/1/0/0@40/16/0/0 %  ytynl071w
D,21,0.1,0.1,0.09,0.11,0,0,0,0.10,0.19,0,0,0.11,0,0,0.22,0,0,1,1,?,?,4,5,4,0,29/0/0/0 %  ytynl085w
D,21,0.1,0.1,0.05,0,0,0,0,0.07,0.36,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,3/1/3/0@3/1/5/0@40/10/0/0 %  ytynl088w
D,20,0.1,0.16,0.17,0.14,0,0.1,0,0.15,0.17,0.6,0,0.11,0,0,0.23,0,0,1,?,?,?,2,4,4,0,1/5/4/0@10/1/5/5@14/1/3/0@14/4/3/1@40/8/0/0 %  ytynl090w
D,20,0.1,0.1,0,0.05,0,0,0,0.07,0.38,0,0,0.11,0,0,0.34,0,0,1,1,1,?,5,5,4,0,6/4/0/0@8/13/0/0@8/19/0/0 %  ytynl093w
D,20,0.1,0.12,0.06,0.09,0,0,0,0.10,0.24,0,0,0.12,0,0,0.29,0,0,1,?,?,?,4,5,4,0,4/5/1/4 %  ytynl097c
D,20,0.1,0.1,0.07,0.1,0,0,0,0.08,0.33,0,0,0.11,0,0,0.37,0,0,1,1,?,1,5,5,5,0,4/5/1/4 %  ytynl107w
D,20,0.1,0.19,0.17,0.26,0,0.1,0.12,0.18,0.15,0.7,0,0.11,0,0,0.24,0.5,0,1,?,?,?,2,4,?,0,1/6/1/0 %  ytynl111c
D,20,0.13,0.15,0.2,0.16,0,0.06,0.09,0.16,0.2,0.3,0,0.17,0,0,0.13,0.69,0,?,?,?,?,2,4,2,0,4/1/1/0@4/3/1/0@40/10/0/0 %  ytynl113w
D,21,0.1,0.1,0.06,0.07,0,0,-0.21,0.08,0.33,0,0,0.11,0,0,0.16,1.31,1,1,1,?,?,4,5,?,0,2/13/0/0 %  ytynl118c
D,20,0.1,0.1,0.07,0.09,0,0,0,0.09,0.2,0,0,0.11,0,0,0.24,0,0,1,?,?,?,4,4,4,0,40/16/0/0@6/4/0/0@67/99/0/0@8/4/0/0 %  ytynl121c
D,21,0.14,0.23,0.3,0.35,0,0.17,0.29,0.26,0.1,1.7,0,0.16,0,0,0.19,1.53,1,?,?,?,?,?,5,?,0,67/99/0/0 %  ytynl125c
D,20,0.1,0.13,0.16,0.12,0,0.1,0,0.13,0.16,0.6,0,0.11,0,0,0.26,0,0,1,?,?,?,2,4,4,0,4/5/5/1@40/10/0/0 %  ytynl147w
D,20,0.1,0.1,0.06,0.13,0,0,0,0.10,0.38,0,0,0.13,0,0,0.27,0,0,1,1,?,?,5,5,4,0,4/5/1/4@6/7/0/0 %  ytynl186w
D,20,0.1,0.11,0,0.08,0,0,-0.35,0.09,0.38,0,0,0.11,0,0,0.04,8.75,1,1,?,1,?,5,4,?,0,1/5/4/0@4/5/1/4@40/10/0/0 %  ytynl199c
D,20,0.1,0.1,0.05,0.09,0,0,0,0.08,0.37,0,0,0.11,0,0,0.12,0,0,1,1,?,?,4,5,4,0,40/10/0/0 %  ytynl206c
D,21,0.1,0.1,0.05,0.06,0,0,0,0.08,0.32,0,0,0.11,0,0,0.21,0,0,1,1,?,?,4,5,4,0,3/1/3/0@40/16/0/0 %  ytynl213c
D,20,0.1,0.1,0,0.08,0,0,0,0.08,0.38,0,0,0.11,0,0,0.24,0,0,1,1,1,?,5,5,4,0,4/1/4/0@4/3/3/0@40/10/0/0 %  ytynl221c
D,20,0.1,0.1,0.09,0.14,0,-0.27,0,0.11,0.11,2.5,1,0.11,0,0,0.2,0,0,1,1,?,?,?,5,4,0,2/13/0/0 %  ytynl237w
D,21,0.1,0.1,0.05,0.05,0,0,0,0.07,0.37,0,0,0.11,0,0,0.29,0,0,1,1,?,?,4,5,4,0,3/1/3/0@3/1/5/1@3/3/1/3@40/10/0/0 %  ytynl262w
D,21,0.19,0.32,0.64,0.75,0,0.07,0.39,0.48,0.29,0.2,0,0.11,0,0,0.12,3.25,1,?,?,?,?,?,5,?,0,1/5/1/0 %  ytynl274c
D,21,0.1,0.1,0.1,0,0,0,0,0.08,0.28,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,3/3/1/0 %  ytynl289w
D,20,0.1,0.1,0.04,0.1,0,0,0,0.07,0.37,0,0,0.11,0,0,0.34,0,0,1,1,?,1,4,5,5,0,8/7/0/0 %  ytynl304w
D,21,0.1,0.1,0.1,0.17,0,0,0.08,0.12,0.21,0,0,0.11,0,0,0.15,0.53,0,1,1,?,?,4,5,?,0,40/16/0/0@6/10/0/0 %  ytynl315c
D,20,0.1,0.1,0.1,0.14,0,0,0.12,0.10,0.38,0,0,0.11,0,0,0.42,0.29,0,1,1,1,?,5,5,2,0,1/1/1/0@40/3/0/0 %  ytynl316c
D,21,0.1,0.1,0,0.1,0,0,-0.07,0.08,0.38,0,0,0.11,0,0,0.3,0.23,0,1,1,1,?,5,5,?,0,1/5/1/0@2/16/0/0 %  ytynl331c
D,20,0.1,0.1,0.1,0,0,0,0,0.08,0.24,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,1/3/4/0 %  ytynl332w
D,20,0.1,0.1,0.11,0.06,0,0,0,0.09,0.2,0,0,0.11,0,0,0.36,0,0,1,1,?,?,4,5,4,0,11/1/0/0 %  ytynl334c
D,20,0.12,0.12,0.24,0.14,0,0.24,0,0.16,0.13,1.8,1,0.11,0,0,0.36,0,0,?,?,?,?,?,5,?,0,1/5/4/0 %  ytynr002c
D,21,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.35,0,0,1,1,1,?,5,5,4,0,3/3/1/0@4/5/1/1@40/10/0/0 %  ytynr010w
D,20,0.1,0.1,0.05,0.1,0,0,0,0.07,0.36,0,0,0.11,0,0,0.32,0,0,1,1,?,1,4,5,5,0,4/5/5/1@40/10/0/0 %  ytynr011c
D,21,0.1,0.1,0.07,0.08,0,0,-0.18,0.09,0.2,0,0,0.11,0,0,0.2,0.9,0,1,1,?,?,4,5,?,0,1/3/4/0 %  ytynr012w
D,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.33,0,0,1,1,1,?,5,5,4,0,11/1/0/0@13/11/3/13@30/1/0/0 %  ytynr031c
D,21,0.1,0.1,0.11,0.07,0,0,0,0.09,0.21,0,0,0.11,0,0,0.24,0,0,1,1,?,?,4,5,4,0,1/7/1/0 %  ytynr033w
D,21,0.1,0.1,0.1,0.13,0,-0.2,0.07,0.11,0.18,1.1,1,0.11,0,0,0.13,0.54,0,1,?,?,?,?,4,2,0,4/1/4/0@40/10/0/0@6/10/0/0 %  ytynr038w
D,20,0.1,0.1,0.07,0.08,0,0,0,0.09,0.34,0,0,0.11,0,0,0.33,0,0,1,1,?,?,4,5,4,0,40/9/0/0@8/16/0/0 %  ytynr049c
D,21,0.1,0.11,0.29,0.33,0,0.26,0.17,0.21,0.2,1.3,1,0.11,0,0,0.2,0.85,0,1,?,?,?,?,5,?,0,1/7/1/0 %  ytynr057c
D,21,0.1,0.1,0.19,0.09,0,0.19,-0.1,0.12,0.14,1.4,0,0.11,0,0,0.26,0.38,0,1,1,?,?,2,5,?,0,1/7/1/0 %  ytynr058w
D,21,0.1,0.1,0.06,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,1/5/1/0 %  ytynr071c
D,21,0.1,0.1,0,0.1,0,0,0,0.08,0.38,0,0,0.11,0,0,0.3,0,0,1,1,1,?,5,5,4,0,1/4/4/0@4/5/1/4@40/10/0/0 %  ytyol001w
D,20,0.1,0.1,0.1,0.08,0,0,0,0.08,0.35,0,0,0.11,0,0,0.28,0,0,1,1,1,?,5,5,4,0,40/7/0/0@6/13/0/0 %  ytyol013c
D,20,0.1,0.1,0.06,0.06,0,0,0,0.08,0.31,0,0,0.11,0,0,0.34,0,0,1,1,?,?,4,5,4,0,3/1/5/1 %  ytyol043c
D,20,0.13,0.11,0.11,0.12,0,0,0,0.12,0.23,0,0,0.11,0,0,0.19,0,0,?,?,?,?,4,5,4,0,1/7/1/0 %  ytyol049w
D,20,0.1,0.1,0.07,0,0,0,0,0.08,0.24,0,0,0.11,0,0,0.37,0,0,1,1,?,1,4,5,5,0,1/5/4/0@14/4/3/3@14/4/3/5@4/5/1/1@40/10/0/0 %  ytyol051w
D,20,0.1,0.1,0.05,0.08,0,0,0,0.08,0.37,0,0,0.11,0,0,0.26,0,0,1,1,?,?,5,5,4,0,1/5/1/0@2/1/0/0 %  ytyol056w
D,21,0.1,0.13,0.2,0.17,0,0.16,0.07,0.15,0.24,0.7,0,0.11,0,0,0.19,0.37,0,1,?,?,?,2,4,?,0,1/1/1/0@11/1/0/0 %  ytyol064c
D,20,0.1,0.1,0.1,0.06,0,0,0,0.08,0.36,0,0,0.11,0,0,0.36,0,0,1,1,1,?,5,5,4,0,67/50/25/0 %  ytyol075c
D,21,0.14,0.11,0.18,0.18,0,-0.06,-0.01,0.15,0.19,0.3,0,0.14,0,0,0.17,0.06,0,?,?,?,?,?,5,?,0,40/7/0/0@6/1/0/0 %  ytyol088c
D,21,0.1,0.11,0.11,0.1,0,-0.18,-0.1,0.11,0.2,0.9,0,0.11,0,0,0.25,0.4,0,1,?,?,?,?,5,?,0,1/7/1/0@40/16/0/0 %  ytyol096c
D,21,0.18,0.14,0.45,0.24,0,0.2,-0.06,0.25,0.2,1,1,0.23,0,0,0.29,0.21,0,?,?,?,?,?,5,?,0,1/5/1/0@2/22/0/0@40/3/0/0 %  ytyol126c
D,20,0.18,0.13,0.18,0.14,0,-0.02,-0.19,0.16,0.17,0.1,0,0.11,0,0,0.19,1,0,?,?,?,?,?,5,?,0,1/5/1/0@6/7/0/0 %  ytyor002w
D,20,0.16,0.17,0.24,0.51,0,0,0.34,0.27,0.15,0,0,0.13,0,0,0.18,1.89,1,?,?,?,?,?,5,?,0,11/7/0/0@13/1/1/1 %  ytyor031w
